"","Date","total_trips"
"266",2016-01-07,50
"267",2016-01-08,35
"268",2016-01-09,12
"269",2016-01-10,7
"270",2016-01-11,25
"271",2016-01-12,18
"272",2016-01-13,25
"273",2016-01-14,45
"274",2016-01-15,33
"275",2016-01-16,14
"276",2016-01-17,13
"277",2016-01-18,11
"278",2016-01-19,33
"279",2016-01-20,25
"280",2016-01-21,31
"281",2016-01-22,27
"282",2016-01-23,16
"283",2016-01-24,24
"284",2016-01-25,30
"285",2016-01-26,50
"286",2016-01-27,46
"287",2016-01-28,48
"288",2016-01-29,42
"289",2016-01-30,12
"290",2016-01-31,11
"291",2016-02-01,38
"292",2016-02-02,31
"293",2016-02-03,42
"294",2016-02-04,48
"295",2016-02-05,57
"296",2016-02-06,19
"297",2016-02-07,21
"298",2016-02-08,33
"299",2016-02-09,30
"300",2016-02-10,30
"301",2016-02-11,45
"302",2016-02-12,34
"303",2016-02-13,19
"304",2016-02-14,6
"305",2016-02-15,25
"306",2016-02-16,25
"307",2016-02-17,39
"308",2016-02-18,43
"309",2016-02-19,53
"310",2016-02-20,53
"311",2016-02-21,34
"312",2016-02-22,47
"313",2016-02-23,42
"314",2016-02-24,26
"315",2016-02-25,30
"316",2016-02-26,26
"317",2016-02-27,33
"318",2016-02-28,24
"319",2016-02-29,29
"320",2016-03-01,20
"321",2016-03-02,32
"322",2016-03-03,29
"323",2016-03-04,37
"324",2016-03-05,30
"325",2016-03-06,41
"326",2016-03-07,77
"327",2016-03-08,67
"328",2016-03-09,67
"329",2016-03-10,56
"330",2016-03-11,50
"331",2016-03-12,20
"332",2016-03-13,15
"333",2016-03-14,43
"334",2016-03-15,47
"335",2016-03-16,37
"336",2016-03-17,52
"337",2016-03-18,38
"338",2016-03-19,18
"339",2016-03-20,13
"340",2016-03-21,57
"341",2016-03-22,33
"342",2016-03-23,22
"343",2016-03-24,16
"344",2016-03-25,28
"345",2016-03-26,21
"346",2016-03-27,16
"347",2016-03-28,66
"348",2016-03-29,57
"349",2016-03-30,41
"350",2016-03-31,41
"351",2016-04-01,49
"352",2016-04-02,20
"353",2016-04-03,32
"354",2016-04-04,44
"355",2016-04-05,47
"356",2016-04-06,31
"357",2016-04-07,37
"358",2016-04-08,33
"359",2016-04-09,21
"360",2016-04-10,24
"361",2016-04-11,39
"362",2016-04-12,57
"363",2016-04-13,71
"364",2016-04-14,66
