"","Date","visitor_count","is_schyr","quarter","year","school_year"
"122",2009-10-30,2405,1,4,2009,2009
"123",2009-10-31,1220,1,4,2009,2009
"124",2009-11-01,2377,1,4,2009,2009
"125",2009-11-02,4416,1,4,2009,2009
"126",2009-11-03,4153,1,4,2009,2009
"127",2009-11-04,4085,1,4,2009,2009
"128",2009-11-05,3601,1,4,2009,2009
"129",2009-11-06,2623,1,4,2009,2009
"130",2009-11-07,1211,1,4,2009,2009
"131",2009-11-08,2033,1,4,2009,2009
"132",2009-11-09,4277,1,4,2009,2009
"133",2009-11-10,4167,1,4,2009,2009
"134",2009-11-11,4113,1,4,2009,2009
"135",2009-11-12,3533,1,4,2009,2009
"136",2009-11-13,2614,1,4,2009,2009
"137",2009-11-14,1210,1,4,2009,2009
"138",2009-11-15,2084,1,4,2009,2009
"139",2009-11-16,4242,1,4,2009,2009
"140",2009-11-17,3953,1,4,2009,2009
"141",2009-11-18,3922,1,4,2009,2009
"142",2009-11-19,2914,1,4,2009,2009
"143",2009-11-20,2942,1,4,2009,2009
"144",2009-11-21,1725,1,4,2009,2009
"145",2009-11-22,3000,1,4,2009,2009
"146",2009-11-23,6023,1,4,2009,2009
"147",2009-11-24,4788,1,4,2009,2009
"148",2009-11-25,2816,1,4,2009,2009
"149",2009-11-26,7,1,4,2009,2009
"150",2009-11-27,886,1,4,2009,2009
"151",2009-11-28,1191,1,4,2009,2009
"152",2009-11-29,2357,1,4,2009,2009
"153",2009-11-30,5883,1,4,2009,2009
"154",2009-12-01,5919,1,4,2009,2009
"155",2009-12-02,5336,1,4,2009,2009
"156",2009-12-03,5249,1,4,2009,2009
"157",2009-12-04,4556,1,4,2009,2009
"158",2009-12-05,3203,1,4,2009,2009
"159",2009-12-06,4240,1,4,2009,2009
"160",2009-12-07,6305,1,4,2009,2009
"161",2009-12-08,5515,1,4,2009,2009
"162",2009-12-09,4898,1,4,2009,2009
"163",2009-12-10,3656,1,4,2009,2009
"164",2009-12-11,2306,1,4,2009,2009
"165",2009-12-12,607,1,4,2009,2009
"166",2009-12-13,362,1,4,2009,2009
"167",2009-12-14,1370,1,4,2009,2009
"168",2009-12-15,1338,1,4,2009,2009
"169",2009-12-16,1113,1,4,2009,2009
"170",2009-12-17,1161,1,4,2009,2009
"171",2009-12-18,920,1,4,2009,2009
"172",2009-12-19,273,1,4,2009,2009
"173",2009-12-20,177,1,4,2009,2009
"174",2009-12-21,834,1,4,2009,2009
"175",2009-12-22,674,1,4,2009,2009
"176",2009-12-23,567,1,4,2009,2009
"177",2009-12-24,270,1,4,2009,2009
"178",2009-12-25,3,1,4,2009,2009
"179",2009-12-26,128,1,4,2009,2009
"180",2009-12-27,101,1,4,2009,2009
"181",2009-12-28,615,1,4,2009,2009
"182",2009-12-29,671,1,4,2009,2009
"183",2009-12-30,663,1,4,2009,2009
"184",2009-12-31,538,1,4,2009,2009
"185",2010-01-01,10,1,1,2010,2009
"186",2010-01-02,389,1,1,2010,2009
"187",2010-01-03,359,1,1,2010,2009
"188",2010-01-04,3744,1,1,2010,2009
"189",2010-01-05,4188,1,1,2010,2009
"190",2010-01-06,4342,1,1,2010,2009
"191",2010-01-07,3782,1,1,2010,2009
"192",2010-01-08,2985,1,1,2010,2009
"193",2010-01-09,1262,1,1,2010,2009
"194",2010-01-10,2546,1,1,2010,2009
"195",2010-01-11,4781,1,1,2010,2009
"196",2010-01-12,4928,1,1,2010,2009
"197",2010-01-13,4832,1,1,2010,2009
"198",2010-01-14,4257,1,1,2010,2009
"199",2010-01-15,2950,1,1,2010,2009
"200",2010-01-16,1436,1,1,2010,2009
"201",2010-01-17,2086,1,1,2010,2009
"202",2010-01-18,3768,1,1,2010,2009
"203",2010-01-19,4882,1,1,2010,2009
"204",2010-01-20,4789,1,1,2010,2009
"205",2010-01-21,4029,1,1,2010,2009
"206",2010-01-22,3159,1,1,2010,2009
"207",2010-01-23,1975,1,1,2010,2009
"208",2010-01-24,3016,1,1,2010,2009
"209",2010-01-25,5148,1,1,2010,2009
"210",2010-01-26,5035,1,1,2010,2009
"211",2010-01-27,4940,1,1,2010,2009
"212",2010-01-28,4695,1,1,2010,2009
"213",2010-01-29,3137,1,1,2010,2009
"214",2010-01-30,1882,1,1,2010,2009
"215",2010-01-31,3260,1,1,2010,2009
"216",2010-02-01,5349,1,1,2010,2009
"217",2010-02-02,5239,1,1,2010,2009
"218",2010-02-03,5270,1,1,2010,2009
"219",2010-02-04,4613,1,1,2010,2009
"220",2010-02-05,3209,1,1,2010,2009
"221",2010-02-06,1921,1,1,2010,2009
"222",2010-02-07,2874,1,1,2010,2009
"223",2010-02-08,5434,1,1,2010,2009
"224",2010-02-09,5005,1,1,2010,2009
"225",2010-02-10,4986,1,1,2010,2009
"226",2010-02-11,3909,1,1,2010,2009
"227",2010-02-12,2393,1,1,2010,2009
"228",2010-02-13,1536,1,1,2010,2009
"229",2010-02-14,2589,1,1,2010,2009
"230",2010-02-15,5088,1,1,2010,2009
"231",2010-02-16,4958,1,1,2010,2009
"232",2010-02-17,5034,1,1,2010,2009
"233",2010-02-18,4674,1,1,2010,2009
"234",2010-02-19,3169,1,1,2010,2009
"235",2010-02-20,1792,1,1,2010,2009
"236",2010-02-21,2958,1,1,2010,2009
"237",2010-02-22,5335,1,1,2010,2009
"238",2010-02-23,5151,1,1,2010,2009
"239",2010-02-24,4952,1,1,2010,2009
"240",2010-02-25,4485,1,1,2010,2009
"241",2010-02-26,3251,1,1,2010,2009
"242",2010-02-27,1733,1,1,2010,2009
"243",2010-02-28,3017,1,1,2010,2009
"244",2010-03-01,5412,1,1,2010,2009
"245",2010-03-02,5362,1,1,2010,2009
"246",2010-03-03,5182,1,1,2010,2009
"247",2010-03-04,4709,1,1,2010,2009
"248",2010-03-05,3374,1,1,2010,2009
"249",2010-03-06,2190,1,1,2010,2009
"250",2010-03-07,3267,1,1,2010,2009
"251",2010-03-08,5795,1,1,2010,2009
